Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,carts:create,60,0,54,56.864733334320285,13.140199996996671,90.8577999798581,185.0,0.1997330281071313,0.0,54,59,73,75,82,86,89,91,91,91,91
POST,favourites:create,494,0,49,50.657626719596735,44.8333999956958,485.2670999825932,388.0,1.6444685980820477,0.0,49,50,51,52,53,55,57,63,490,490,490
POST,orders:create,991,0,46,46.44630565054294,5.552499962504953,80.36629995331168,185.56306760847627,3.2989238475694522,0.0,46,47,47,48,49,50,52,54,80,80,80
GET,orders:list,454,0,26,27.816737003753676,16.783099970780313,327.17450003838167,634830.8898678414,1.5113132460106269,0.0,26,27,28,30,34,40,47,52,330,330,330
POST,payments:create,436,0,48,48.09363234020265,43.865200015716255,101.70739999739453,190.7316513761468,1.4513933375784875,0.0,48,48,49,50,51,53,54,56,100,100,100
GET,products:detail,1392,0,4,4.62441681110636,2.935799944680184,26.439600042067468,232.03304597701148,4.633806252085447,0.0,4,5,5,5,6,7,8,10,17,26,26
GET,products:list,2404,0,4,5.028541888693966,2.8232999611645937,49.41779997898266,1055.0,8.002636659492394,0.0,4,5,5,5,7,8,12,16,28,49,49
POST,shippings:create,414,0,49,49.17261425258394,44.92830001981929,83.50810001138598,333.0,1.378157893939206,0.0,49,50,50,51,52,54,55,56,84,84,84
POST,users:create,60,0,52,62.289441666992694,22.79740001540631,134.31839999975637,448.0,0.1997330281071313,0.0,53,65,79,100,110,110,120,130,130,130,130
,Aggregated,6705,0,6,22.473272856275948,2.8232999611645937,485.2670999825932,43505.89112602535,22.320165890971925,0.0,6,44,46,47,49,51,54,58,110,490,490
